id,question,set_id
2619,My baby is 4 mnths old nd I want to know how to improve breast milk production,7
2972,Can u plz suggest some vegetarian food so that if help me improve and increase milk,7
3168,HelloWhat should I eat to full (satisfy) my 5 months old baby's tummy.,7
3435,"Pls suggest food to increase breastmilk, I am vegitarian.",7
3609,How to enhance breastfeeding,7
3632,How to increas feeding milk,7
3652,My baby s one month old. how to increase breast milk?,7
3692,How to increase breastmilk,7
3747,How to increase breast milk for New born,7
3763,pls suggest food receipe for my 9 month old daughter,6
3781,Suggest me for milk segretion,7
3851,Hi I have a month old baby.... I think breast milk s not sufficient. ..what can I do?,7
3878,Hiii my daughter 4 month old.  Breastfeeding not enough. Wat kind of food I need to take,7
3896,How to increase milk supply to my baby she is 5 month old,7
8350,my baby is 11 months old.. fed up with her food.. suggest what can I feed,10
8362,"hi my son is 9 months old,please suggest me some healthy receipes for him in summer.",6
8455,my 9 months old doesnt lik cerelac ... what to do ?,10
8473,What solid food i should give to my baby? She is six months old now.,2
8487,hi my lo is of 12 months. what is nutritious food for him at this stage?,10
8493,my child is 6 months old... not showing interest in solid food,2
8532,food for 7 month baby?,10
8540,My 10month old daughter not showing interest for food... She is not taking solid food.. What to do?,10
8561,which month start to food for baby,2
8567,my son is 10 months old. wat diet should i give to him in summers...,6
8581,What all food can be given for my 11 month old baby,10
8609,what a proper diet includes for a 6 months baby,2
8654,hai.. my daughter is 10 months old.. let me know what is the suitable food for her....,10
8671,my baby is 6 month old now.. what all food intake should I start for him,2
8713,When should i start semi solid food for my child and what shiuld i start with,2
8717,my daughter is 10 months old i want to knw few snacks recipes,56
8761,wt type of fod cn i gve to my 8mnth baby.,10
8772,"hye.... what kind of solid food start to 6, month baby",2
8775,my  son is 7 month old what food I should give to him,10
8782,Can u please suggest foods for nine months baby....,10
8877,can anyone help with d diet for 5 month old kid,2
8934,my son is 11 months old ...what diet chart shud i follow ...with complete nutrients,10
8944,Whatfood to start to my 5month old baby,2
8970,my son is 10 month old. he is very lean. what should I give him to eat,10
9033,my baby is 9 month old which type of food I can give him in summers,6
9056,how to increase breast milk to my second child . as my first child had bottle feeding,7
9095,my 6 month old child what to give for better nutrition.,2
9149,hii m not able to feed my daughter.. plz suggest me how I increase my breast milk,7
9174,hello my baby is 5 month old what can I feed her other than my milk,2
9227,can i introduce solids to my 4 months baby girl? if so what type of food should i  prefer?,100
9277,Hi my daughter s 11 months old.... she eats but dont put weight... she s oly 7 kg,10
9325,Hi my son is 6 months old what should I feed him along with breastfeed,2
